USFWS CODE	USFWS NAME
USFWS_259	WORTH COUNTY WATERFOWL PRODUCTION AREA
USFWS_260	ISLAND BAY NATIONAL WILDLIFE REFUGE
USFWS_261	FOND DU LAC COUNTY WATERFOWL PRODUCTION AREA
USFWS_262	PENDILLS CREEK NATIONAL FISH HATCHERY
USFWS_263	AURORA COUNTY WATERFOWL PRODUCTION AREA
USFWS_264	ABERNATHY FISH TECHNOLOGY CENTER
USFWS_265	WAKE ATOLL NATIONAL WILDLIFE REFUGE
USFWS_266	MATTAMUSKEET NATIONAL WILDLIFE REFUGE
USFWS_267	ERNEST F. HOLLINGS ACE BASIN NATIONAL WILDLIFE REFUGE
USFWS_268	MONTEZUMA NATIONAL WILDLIFE REFUGE
USFWS_269	ST. CROIX COUNTY WATERFOWL PRODUCTION AREA
USFWS_270	DESOTO NATIONAL WILDLIFE REFUGE
USFWS_271	DIVIDE COUNTY WATERFOWL PRODUCTION AREA
USFWS_272	CAVALIER COUNTY WATERFOWL PRODUCTION AREA
USFWS_273	EGMONT KEY NATIONAL WILDLIFE REFUGE
USFWS_274	LITTLE WHITE SALMON NATIONAL FISH HATCHERY
USFWS_275	HILLSIDE NATIONAL WILDLIFE REFUGE
USFWS_276	CHICKASAW NATIONAL WILDLIFE REFUGE
USFWS_277	WAPATO LAKE NATIONAL WILDLIFE REFUGE
USFWS_278	PEARL HARBOR NATIONAL WILDLIFE REFUGE
USFWS_279	LOST TRAIL NATIONAL WILDLIFE REFUGE
USFWS_280	WALSH COUNTY WATERFOWL PRODUCTION AREA
USFWS_281	LAKE ANDES NATIONAL WILDLIFE REFUGE
USFWS_282	TOGIAK NATIONAL WILDLIFE REFUGE
USFWS_283	WHITTLESEY CREEK NATIONAL WILDLIFE REFUGE
USFWS_284	SWAN LAKE NATIONAL WILDLIFE REFUGE
USFWS_285	OAHU FOREST NATIONAL WILDLIFE REFUGE
USFWS_286	MONTE VISTA NATIONAL WILDLIFE REFUGE
USFWS_287	LAMAR NATIONAL FISH HATCHERY AND NORTHEAST FISHERY CENTER
USFWS_288	GRAND FORKS COUNTY WATERFOWL PRODUCTION AREA
USFWS_289	POND CREEK NATIONAL WILDLIFE REFUGE
USFWS_290	COKEVILLE MEADOWS NATIONAL WILDLIFE REFUGE
USFWS_291	WILLARD NATIONAL FISH HATCHERY
USFWS_292	ALASKA MARITIME NATIONAL WILDLIFE REFUGE
USFWS_293	BELTRAMI COUNTY WATERFOWL PRODUCTION AREA
USFWS_294	NASHUA NATIONAL FISH HATCHERY
USFWS_295	HAGERMAN NATIONAL WILDLIFE REFUGE
USFWS_296	FARM SERVICE AGENCY INTEREST OF IA
USFWS_297	FARM SERVICE AGENCY INTEREST OF ID
USFWS_298	MASHPEE NATIONAL WILDLIFE REFUGE
USFWS_299	FARM SERVICE AGENCY INTEREST OF IL
USFWS_300	SHERMAN CREEK GAME RANGE
USFWS_301	SUNNYSIDE WATERFOWL MANAGEMENT AREA
USFWS_302	CROSS CREEKS NATIONAL WILDLIFE REFUGE
USFWS_303	None
USFWS_304	CLAY COUNTY WATERFOWL PRODUCTION AREA OF MINNESOTA
USFWS_305	LACREEK NATIONAL WILDLIFE REFUGE
USFWS_306	LITTLE RIVER NATIONAL WILDLIFE REFUGE
USFWS_307	MODOC NATIONAL WILDLIFE REFUGE
USFWS_308	OZARK CAVEFISH NATIONAL WILDLIFE REFUGE
USFWS_309	FOSTER COUNTY WATERFOWL PRODUCTION AREA
USFWS_310	HUMBOLDT BAY NATIONAL WILDLIFE REFUGE
USFWS_311	FELSENTHAL NATIONAL WILDLIFE REFUGE
USFWS_312	DAKOTA COUNTY WATERFOWL PRODUCTION AREA
USFWS_313	C. J. STRIKE WILDLIFE MANAGEMENT AREA
USFWS_314	HUTTON LAKE NATIONAL WILDLIFE REFUGE
USFWS_315	PIEDMONT NATIONAL WILDLIFE REFUGE
USFWS_316	BLACKBEARD ISLAND NATIONAL WILDLIFE REFUGE
USFWS_317	CRAB ORCHARD NATIONAL WILDLIFE REFUGE
USFWS_318	WINNEBAGO COUNTY WATERFOWL PRODUCTION AREA
USFWS_319	CONSCIENCE POINT NATIONAL WILDLIFE REFUGE
USFWS_320	SULLY COUNTY WATERFOWL PRODUCTION AREA
USFWS_321	ELLICOTT SLOUGH NATIONAL WILDLIFE REFUGE
USFWS_322	CABEZA PRIETA NATIONAL WILDLIFE REFUGE
USFWS_323	SPINK COUNTY WATERFOWL PRODUCTION AREA
USFWS_324	CAMPBELL COUNTY WATERFOWL PRODUCTION AREA
USFWS_325	MARIN ISLANDS NATIONAL WILDLIFE REFUGE
USFWS_326	BOTTINEAU COUNTY WATERFOWL PRODUCTION AREA
USFWS_327	LAC QUI PARLE COUNTY WATERFOWL PRODUCTION AREA
USFWS_328	BEAR BUTTE NATIONAL WILDLIFE REFUGE
USFWS_329	BAKER ISLAND NATIONAL WILDLIFE REFUGE
USFWS_330	DAVISON COUNTY WATERFOWL PRODUCTION AREA
USFWS_331	BARRY COUNTY WATERFOWL PRODUCTION AREA
USFWS_332	WALWORTH COUNTY WATERFOWL PRODUCTION AREA
USFWS_333	SAN JUAN ISLANDS NATIONAL WILDLIFE REFUGE
USFWS_334	HAVASU NATIONAL WILDLIFE REFUGE
USFWS_335	ATTWATER PRAIRIE CHICKEN NATIONAL WILDLIFE REFUGE
USFWS_336	DUNGENESS NATIONAL WILDLIFE REFUGE
USFWS_337	PALMYRA ATOLL NATIONAL WILDLIFE REFUGE
USFWS_338	PEMBINA COUNTY WATERFOWL PRODUCTION AREA
USFWS_339	CAPE MAY NATIONAL WILDLIFE REFUGE
USFWS_340	FLORENCE LAKE NATIONAL WILDLIFE REFUGE
USFWS_341	EAGLE FISH HEALTH LABORATORY
USFWS_342	HAWAIIAN ISLANDS NATIONAL WILDLIFE REFUGE
USFWS_343	BALCONES CANYONLANDS NATIONAL WILDLIFE REFUGE
USFWS_344	PATOKA RIVER NATIONAL WILDLIFE REFUGE
USFWS_345	COLD SPRINGS NATIONAL WILDLIFE REFUGE
USFWS_346	YORK COUNTY WATERFOWL PRODUCTION AREA
USFWS_347	MARBLE BLUFF FISH RESEARCH & CONTROL STATION
USFWS_348	SAM D. HAMILTON NOXUBEE NATIONAL WILDLIFE REFUGE
USFWS_349	LOGAN COUNTY WATERFOWL PRODUCTION AREA
USFWS_350	ASH MEADOWS NATIONAL WILDLIFE REFUGE
USFWS_351	BIG MUDDY NATIONAL FISH AND WILDLIFE REFUGE
USFWS_352	WRIGHT COUNTY WATERFOWL PRODUCTION AREA
USFWS_353	ALLEGHENY NATIONAL FISH HATCHERY
USFWS_354	SAN ANDRES NATIONAL WILDLIFE REFUGE
USFWS_355	MARQUETTE COUNTY WATERFOWL PRODUCTION AREA
USFWS_356	JOHNSON LAKE NATIONAL WILDLIFE REFUGE
USFWS_357	KEARNEY COUNTY WATERFOWL PRODUCTION AREA
USFWS_358	SAN DIEGO BAY NATIONAL WILDLIFE REFUGE
USFWS_359	GREAT MEADOWS NATIONAL WILDLIFE REFUGE
USFWS_360	TEWAUKON NATIONAL WILDLIFE REFUGE
USFWS_361	BACK BAY NATIONAL WILDLIFE REFUGE
USFWS_362	BLACK BAYOU LAKE NATIONAL WILDLIFE REFUGE
USFWS_363	PIPESTONE WILDLIFE MANAGEMENT AREA
USFWS_364	ROCKY MOUNTAIN ARSENAL NATIONAL WILDLIFE REFUGE
USFWS_365	CASCADE COUNTY WATERFOWL PRODUCTION AREA
USFWS_366	IRRIGON FISH HATCHERY
USFWS_367	DODGE COUNTY WATERFOWL PRODUCTION AREA
USFWS_368	PHILLIPS COUNTY WATERFOWL PRODUCTION AREA
USFWS_369	SHEBOYGAN COUNTY WATERFOWL PRODUCTION AREA
USFWS_370	DESECHEO NATIONAL WILDLIFE REFUGE
USFWS_371	NORTH PLATTE NATIONAL WILDLIFE REFUGE
USFWS_372	PHELPS COUNTY WATERFOWL PRODUCTION AREA
USFWS_373	NANTUCKET NATIONAL WILDLIFE REFUGE
USFWS_374	LAKE ISOM NATIONAL WILDLIFE REFUGE
USFWS_375	NORTH LAKE WILDLIFE MANAGEMENT AREA
USFWS_376	PELICAN ISLAND NATIONAL WILDLIFE REFUGE
USFWS_377	ORANGEBURG NATIONAL FISH HATCHERY
USFWS_378	STEELE COUNTY WATERFOWL PRODUCTION AREA
USFWS_379	MOWER COUNTY WATERFOWL PRODUCTION AREA
USFWS_380	SAN BERNARD NATIONAL WILDLIFE REFUGE
USFWS_381	HARBOR ISLAND NATIONAL WILDLIFE REFUGE
USFWS_382	MOUNTRAIL COUNTY WATERFOWL PRODUCTION AREA
USFWS_383	BEAR VALLEY NATIONAL WILDLIFE REFUGE
USFWS_384	STEIGERWALD LAKE NATIONAL WILDLIFE REFUGE
USFWS_385	DRIFTLESS AREA NATIONAL WILDLIFE REFUGE
USFWS_386	UNION SLOUGH NATIONAL WILDLIFE REFUGE
USFWS_387	DEER FLAT NATIONAL WILDLIFE REFUGE
USFWS_388	AMAGANSETT NATIONAL WILDLIFE REFUGE
USFWS_389	BACA NATIONAL WILDLIFE REFUGE
USFWS_390	SULLYS HILL NATIONAL GAME PRESERVE
USFWS_391	MULESHOE NATIONAL WILDLIFE REFUGE
USFWS_392	DAY COUNTY WATERFOWL PRODUCTION AREA
USFWS_393	BITTER CREEK NATIONAL WILDLIFE REFUGE
USFWS_394	JOHN HAY NATIONAL WILDLIFE REFUGE
USFWS_395	UPPER MISSISSIPPI RIVER NATIONAL WILDLIFE AND FISH REFUGE
USFWS_396	SHELL KEYS NATIONAL WILDLIFE REFUGE
USFWS_397	SAC COUNTY WATERFOWL PRODUCTION AREA
USFWS_398	KANKAKEE NATIONAL WILDLIFE REFUGE AND CONSERVATION AREA
USFWS_399	BANDON MARSH NATIONAL WILDLIFE REFUGE
USFWS_400	LYONS FERRY FISH HATCHERY
USFWS_401	BALDHILL DAM NATIONAL FISH HATCHERY
USFWS_402	LAKE GEORGE NATIONAL WILDLIFE REFUGE
USFWS_403	MEDICINE LAKE NATIONAL WILDLIFE REFUGE
